17 9.0 536.89 -423.03
18 9.0 288.16 -700.75
19 9.0 549.45 -618.10
20 9.0 510.42 -633.25
21 9.0 494.66 -638.01
22 9.0 309.53 -687.33
23 9.0 761.95 -480.70
24 9.0 843.37 -511.51
25 9.0 850.16 -524.03
26 9.0 644.68 -884.83
27 9.0 659.92 -880.12
28 9.0 639.11 -777.01
29 9.0 633.14 -763.72
30 9.0 603.59 -647.54
31 9.0 639.53 -767.13
32 9.0 330.01 -849.13
33 9.0 325.61 -834.72
34 9.0 619.04 -710.18
35 9.0 599.34 -644.64
36 9.0 594.57 -629.26
37 9.0 590.21 -615.19
38 9.0 335.82 -509.10
39 9.0 349.40 -847.78
40 9.0 335.69 -854.72
41 9.0 339.22 -868.34
42 9.0 518.15 -387.37
43 9.0 488.58 -488.71
44 9.0 922.74 -413.59
45 9.0 882.11 -403.22
6 10.0 612.87 -678.42
7 10.0 617.85 -695.13
8 10.0 351.04 -917.84
9 10.0 456.04 -945.87
10 10.0 487.94 -636.71
11 10.0 503.42 -632.03
12 10.0 518.81 -627.38
13 10.0 532.58 -441.14
14 10.0 330.22 -501.83
15 10.0 401.05 -371.22
16 10.0 441.39 -359.28
17 10.0 534.46 -415.94
18 10.0 285.61 -692.44
19 10.0 541.37 -620.54
20 10.0 517.10 -631.23
21 10.0 501.77 -635.86
22 10.0 302.55 -689.44
23 10.0 754.03 -482.72
24 10.0 841.50 -505.41
25 10.0 845.94 -519.39
26 10.0 638.35 -886.78
27 10.0 652.96 -882.27
28 10.0 641.05 -783.44
29 10.0 636.57 -768.39
30 10.0 601.03 -639.29
31 10.0 637.51 -760.36
32 10.0 332.14 -856.11
33 10.0 327.50 -840.92
34 10.0 621.02 -716.76
35 10.0 601.55 -651.77
36 10.0 596.84 -636.57
37 10.0 592.09 -621.26
38 10.0 333.70 -502.24
39 10.0 356.05 -845.78
40 10.0 340.07 -850.57
41 10.0 337.62 -863.10
42 10.0 518.54 -394.31
